;;;;;;Latching Solinoid Driver, BOM
;;;;;;semicolon separated values in text file, import into LibreOffice Calc;;;TOTAL
;;;;;;10/4/16 16276^0 Preliminary;;;=SUM(J7:J100)


LINE; REF; QTY; EPCCS TYP;EPCCS PN;MFG,PN; DESCRIPTION; NOTES; COST EA; LINE COST;BIN
19;R2,R3,R4,R5,R6,R7,R8,R9,R10,R13,R14,R16,R17,R23,R24,R25,R27;17;R-C;0805KX1003;YAGEO,RC0805FR-07100KL;RESISTOR CHIP 1% 100KOHM 0805;(1);0.01;=C25*I25;IRRIGATE7
20;R18;1;R-C;0805KX182R;YAGEO,RC0805FR-07182RL;RESISTOR CHIP 1% 182OHM 0805;(1);0.01;=C26*I26;IRRIGATE7
21;R19;1;R-C;1210KX1R00;STACKPOLE,RMCF1210FT1R00;RESISTOR CHIP 1% 1OHM 1210;(1);0.14;=C27*I27;IRRIGATE7
22;R20;1;R-C;0805KX32R4;YAGEO,RC0805FR-0732R4L;RESISTOR CHIP 1% 32R4OHM 0805;(1);0.01;=C28*I29;RPUNO
23;R21;1;R-C;0805KX4992;YAGEO,RC0805FR-0749K9L;RESISTOR CHIP 1% 49K9OHM 0805;(1);0.01;=C29*I29;IRRIGATE7
24;R26;1;R-C;0805KX5621;YAGEO,RC0805FR-075K62L;RESISTOR CHIP 1% 5K62OHM 0805;(1);0.1;=C30*I30;IRRIGATE7
25;R28;1;R-C;0805KX1582;YAGEO,RC0805FR-0715K8L;RESISTOR CHIP 1% 15K8OHM 0805;(1);0.1;=C31*I31;IRRIGATE7
26;R30;1;R-C;0805KX8451;YAGEO,RC0805FR-078K45L;RESISTOR CHIP 1% 8K45OHM 0805;(1);0.1;=C32*I32;IRRIGATE7
27;R31;1;R-C;0805KX4322;YAGEO,RC0805FR-0743K2L;RESISTOR CHIP 1% 43K2OHM 0805;(1);0.1;=C33*I33;IRRIGATE7
28;U1;1;U-BOOST;MC34063A;TI,MC34063ADR;BOOST REGULATOR 3-40VIN 2-40VOUT 1.5A 8SOIC;(1);0.68;=C34*I34;IRRIGATE7
29;U2;1;U-7400;74HC238;TI,CD74HC238M;LOGIC 3TO8 NOT DECODER DEMUX 16SOIC;(1);0.54;=C35*I35;PDAQ
30;HW1,HW2;2;HW-DINMNT;USA10-4,6;PHXCONT,1201578;DINRAIL ADAPTER UNIVERSAL 10MM 2.75MM;(1);1.21;=C36*I36;SHLD
31;;4;HW-SCREW;ZN6PSMS38;B&F,PSMS 006 0038 PH;PAN SHT MTL SCREW #6 PHP .38L ZN;(1);0.15;=C38*I37;SHLD
32;;1;J-HDR3.5mm;PT1.5/4-PVH-3.5;PHOENIX CONTACT,1984031;CONN PLUG STRIP 4POS 3.5MM;(2,6);0.86;=C38*I38;SHLD
33;;1;J-HDR3.5mm;PT1.5/8-PVH-3.5;PHOENIX CONTACT,1984073;CONN PLUG STRIP 8POS 3.5MM;(2,6);1.64;=C39*I39;SHLD

NOTES
(1);Alternate part with same or better rating allowed.
(2);for x in ("2","4","6","8"): print ("PST 1,0/" + x + "-3,5 mates with PT 1,5/" + x + "-PVH-3,5")
(4);Cut 36 pin to needed size
(6);Cut 16 pin to needed size



